	A->C	A->G	A->T	C->A	C->G	C->T	G->A	G->C	G->T	T->A	T->C	T->G
62	1.974e-3 [1.770e-3..2.203e-3]	5.306e-3 [4.964e-3..5.672e-3]	2.412e-3 [2.185e-3..2.663e-3]	3.909e-3 [3.542e-3..4.313e-3]	2.748e-3 [2.443e-3..3.091e-3]	7.877e-3 [7.349e-3..8.441e-3]	8.480e-3 [7.938e-3..9.059e-3]	2.645e-3 [2.349e-3..2.978e-3]	3.939e-3 [3.574e-3..4.340e-3]	2.752e-3 [2.514e-3..3.014e-3]	4.182e-3 [3.885e-3..4.501e-3]	2.097e-3 [1.890e-3..2.326e-3]
63	2.210e-3 [1.990e-3..2.455e-3]	5.051e-3 [4.712e-3..5.414e-3]	2.720e-3 [2.474e-3..2.990e-3]	4.282e-3 [3.895e-3..4.708e-3]	2.690e-3 [2.387e-3..3.032e-3]	8.494e-3 [7.941e-3..9.084e-3]	8.629e-3 [8.074e-3..9.223e-3]	2.566e-3 [2.270e-3..2.899e-3]	3.899e-3 [3.531e-3..4.305e-3]	2.543e-3 [2.306e-3..2.805e-3]	4.390e-3 [4.074e-3..4.730e-3]	2.185e-3 [1.966e-3..2.429e-3]
64	2.116e-3 [1.897e-3..2.359e-3]	4.868e-3 [4.531e-3..5.231e-3]	2.227e-3 [2.003e-3..2.477e-3]	4.286e-3 [3.890e-3..4.723e-3]	2.966e-3 [2.640e-3..3.333e-3]	8.941e-3 [8.362e-3..9.561e-3]	9.452e-3 [8.866e-3..1.008e-2]	2.656e-3 [2.353e-3..2.997e-3]	3.897e-3 [3.526e-3..4.306e-3]	3.055e-3 [2.785e-3..3.352e-3]	4.398e-3 [4.071e-3..4.750e-3]	2.117e-3 [1.894e-3..2.366e-3]
65	1.961e-3 [1.749e-3..2.199e-3]	5.117e-3 [4.767e-3..5.492e-3]	2.276e-3 [2.047e-3..2.532e-3]	4.337e-3 [3.923e-3..4.793e-3]	3.073e-3 [2.728e-3..3.462e-3]	8.457e-3 [7.873e-3..9.084e-3]	9.310e-3 [8.709e-3..9.952e-3]	2.627e-3 [2.316e-3..2.980e-3]	3.510e-3 [3.148e-3..3.914e-3]	2.618e-3 [2.365e-3..2.897e-3]	4.063e-3 [3.746e-3..4.407e-3]	2.007e-3 [1.788e-3..2.253e-3]
66	1.996e-3 [1.778e-3..2.241e-3]	4.886e-3 [4.538e-3..5.260e-3]	2.275e-3 [2.042e-3..2.536e-3]	4.691e-3 [4.251e-3..5.176e-3]	2.572e-3 [2.251e-3..2.938e-3]	7.703e-3 [7.134e-3..8.317e-3]	9.018e-3 [8.410e-3..9.670e-3]	2.610e-3 [2.291e-3..2.972e-3]	3.487e-3 [3.116e-3..3.903e-3]	3.029e-3 [2.753e-3..3.333e-3]	4.196e-3 [3.869e-3..4.551e-3]	1.848e-3 [1.635e-3..2.089e-3]
67	2.161e-3 [1.924e-3..2.427e-3]	4.898e-3 [4.536e-3..5.290e-3]	2.752e-3 [2.484e-3..3.050e-3]	3.787e-3 [3.388e-3..4.233e-3]	2.329e-3 [2.021e-3..2.684e-3]	8.935e-3 [8.312e-3..9.604e-3]	8.746e-3 [8.137e-3..9.401e-3]	2.540e-3 [2.221e-3..2.905e-3]	3.822e-3 [3.426e-3..4.264e-3]	2.499e-3 [2.247e-3..2.779e-3]	4.006e-3 [3.684e-3..4.356e-3]	2.014e-3 [1.789e-3..2.267e-3]
68	1.927e-3 [1.700e-3..2.183e-3]	4.908e-3 [4.538e-3..5.307e-3]	2.226e-3 [1.981e-3..2.500e-3]	4.290e-3 [3.861e-3..4.766e-3]	2.382e-3 [2.067e-3..2.744e-3]	8.405e-3 [7.796e-3..9.061e-3]	8.741e-3 [8.121e-3..9.408e-3]	2.235e-3 [1.932e-3..2.586e-3]	3.886e-3 [3.480e-3..4.340e-3]	2.814e-3 [2.537e-3..3.121e-3]	4.509e-3 [4.155e-3..4.893e-3]	1.978e-3 [1.749e-3..2.239e-3]
69	1.988e-3 [1.753e-3..2.255e-3]	4.626e-3 [4.260e-3..5.023e-3]	1.923e-3 [1.692e-3..2.185e-3]	4.324e-3 [3.887e-3..4.811e-3]	2.780e-3 [2.434e-3..3.176e-3]	8.958e-3 [8.319e-3..9.645e-3]	7.817e-3 [7.223e-3..8.459e-3]	2.345e-3 [2.029e-3..2.710e-3]	3.819e-3 [3.410e-3..4.276e-3]	2.797e-3 [2.513e-3..3.112e-3]	4.466e-3 [4.104e-3..4.860e-3]	1.812e-3 [1.586e-3..2.069e-3]
70	1.980e-3 [1.743e-3..2.248e-3]	4.820e-3 [4.443e-3..5.229e-3]	2.080e-3 [1.837e-3..2.355e-3]	4.084e-3 [3.643e-3..4.578e-3]	2.620e-3 [2.272e-3..3.022e-3]	8.196e-3 [7.562e-3..8.882e-3]	8.651e-3 [8.002e-3..9.352e-3]	2.377e-3 [2.048e-3..2.759e-3]	3.883e-3 [3.456e-3..4.363e-3]	2.695e-3 [2.414e-3..3.009e-3]	4.329e-3 [3.968e-3..4.722e-3]	1.702e-3 [1.482e-3..1.956e-3]
71	1.726e-3 [1.501e-3..1.985e-3]	4.676e-3 [4.296e-3..5.090e-3]	1.964e-3 [1.723e-3..2.239e-3]	3.843e-3 [3.406e-3..4.335e-3]	2.206e-3 [1.882e-3..2.587e-3]	8.401e-3 [7.745e-3..9.113e-3]	9.471e-3 [8.775e-3..1.022e-2]	2.505e-3 [2.159e-3..2.907e-3]	3.258e-3 [2.860e-3..3.712e-3]	3.045e-3 [2.741e-3..3.383e-3]	4.022e-3 [3.670e-3..4.407e-3]	1.655e-3 [1.434e-3..1.908e-3]
72	2.047e-3 [1.792e-3..2.337e-3]	4.782e-3 [4.384e-3..5.215e-3]	1.886e-3 [1.642e-3..2.166e-3]	4.053e-3 [3.596e-3..4.568e-3]	2.565e-3 [2.207e-3..2.982e-3]	8.121e-3 [7.463e-3..8.835e-3]	7.893e-3 [7.251e-3..8.592e-3]	2.507e-3 [2.156e-3..2.915e-3]	3.686e-3 [3.254e-3..4.174e-3]	2.821e-3 [2.525e-3..3.152e-3]	4.118e-3 [3.757e-3..4.514e-3]	1.787e-3 [1.554e-3..2.054e-3]
73	1.743e-3 [1.506e-3..2.017e-3]	5.648e-3 [5.207e-3..6.125e-3]	1.772e-3 [1.533e-3..2.049e-3]	3.898e-3 [3.448e-3..4.407e-3]	2.624e-3 [2.260e-3..3.048e-3]	8.395e-3 [7.723e-3..9.125e-3]	9.376e-3 [8.663e-3..1.015e-2]	2.340e-3 [1.997e-3..2.742e-3]	3.495e-3 [3.069e-3..3.979e-3]	2.892e-3 [2.580e-3..3.242e-3]	4.417e-3 [4.028e-3..4.844e-3]	1.899e-3 [1.649e-3..2.186e-3]
74	1.537e-3 [1.313e-3..1.800e-3]	5.830e-3 [5.377e-3..6.321e-3]	1.627e-3 [1.396e-3..1.897e-3]	4.301e-3 [3.814e-3..4.850e-3]	2.483e-3 [2.120e-3..2.908e-3]	7.791e-3 [7.126e-3..8.516e-3]	8.524e-3 [7.836e-3..9.272e-3]	2.488e-3 [2.128e-3..2.908e-3]	3.914e-3 [3.456e-3..4.432e-3]	2.852e-3 [2.534e-3..3.211e-3]	4.399e-3 [3.999e-3..4.839e-3]	1.923e-3 [1.664e-3..2.221e-3]
75	1.703e-3 [1.463e-3..1.981e-3]	5.026e-3 [4.602e-3..5.488e-3]	1.723e-3 [1.482e-3..2.003e-3]	3.780e-3 [3.309e-3..4.318e-3]	2.345e-3 [1.981e-3..2.776e-3]	8.330e-3 [7.617e-3..9.109e-3]	8.513e-3 [7.800e-3..9.291e-3]	2.239e-3 [1.888e-3..2.657e-3]	3.385e-3 [2.946e-3..3.889e-3]	2.313e-3 [2.025e-3..2.642e-3]	4.198e-3 [3.803e-3..4.633e-3]	1.927e-3 [1.666e-3..2.230e-3]
76	1.687e-3 [1.444e-3..1.972e-3]	4.486e-3 [4.077e-3..4.934e-3]	1.805e-3 [1.553e-3..2.098e-3]	3.728e-3 [3.248e-3..4.279e-3]	2.337e-3 [1.963e-3..2.781e-3]	8.272e-3 [7.541e-3..9.072e-3]	9.511e-3 [8.735e-3..1.036e-2]	2.482e-3 [2.100e-3..2.933e-3]	3.551e-3 [3.088e-3..4.083e-3]	3.133e-3 [2.792e-3..3.517e-3]	3.625e-3 [3.256e-3..4.035e-3]	1.692e-3 [1.446e-3..1.980e-3]
77	1.711e-3 [1.458e-3..2.009e-3]	5.398e-3 [4.932e-3..5.907e-3]	1.837e-3 [1.574e-3..2.145e-3]	3.623e-3 [3.144e-3..4.175e-3]	2.327e-3 [1.949e-3..2.777e-3]	8.429e-3 [7.682e-3..9.249e-3]	1.004e-2 [9.239e-3..1.092e-2]	2.285e-3 [1.917e-3..2.724e-3]	3.502e-3 [3.038e-3..4.035e-3]	2.251e-3 [1.959e-3..2.587e-3]	3.843e-3 [3.455e-3..4.274e-3]	1.648e-3 [1.401e-3..1.939e-3]
78	1.901e-3 [1.628e-3..2.220e-3]	4.807e-3 [4.361e-3..5.300e-3]	1.435e-3 [1.200e-3..1.716e-3]	3.866e-3 [3.365e-3..4.442e-3]	2.324e-3 [1.942e-3..2.780e-3]	7.850e-3 [7.121e-3..8.652e-3]	8.876e-3 [8.110e-3..9.714e-3]	2.167e-3 [1.804e-3..2.602e-3]	3.573e-3 [3.098e-3..4.121e-3]	2.308e-3 [2.003e-3..2.660e-3]	4.046e-3 [3.635e-3..4.503e-3]	1.725e-3 [1.464e-3..2.033e-3]
79	2.040e-3 [1.751e-3..2.377e-3]	6.070e-3 [5.556e-3..6.631e-3]	1.729e-3 [1.465e-3..2.041e-3]	3.804e-3 [3.300e-3..4.385e-3]	1.992e-3 [1.637e-3..2.425e-3]	9.640e-3 [8.818e-3..1.054e-2]	9.467e-3 [8.659e-3..1.035e-2]	2.099e-3 [1.736e-3..2.538e-3]	3.426e-3 [2.953e-3..3.975e-3]	2.626e-3 [2.289e-3..3.011e-3]	4.234e-3 [3.802e-3..4.716e-3]	1.622e-3 [1.362e-3..1.930e-3]
80	2.018e-3 [1.728e-3..2.356e-3]	6.003e-3 [5.487e-3..6.567e-3]	1.523e-3 [1.274e-3..1.821e-3]	3.917e-3 [3.388e-3..4.530e-3]	2.424e-3 [2.015e-3..2.916e-3]	7.510e-3 [6.763e-3..8.339e-3]	7.563e-3 [6.818e-3..8.388e-3]	2.066e-3 [1.694e-3..2.520e-3]	3.941e-3 [3.413e-3..4.550e-3]	2.190e-3 [1.881e-3..2.550e-3]	4.433e-3 [3.984e-3..4.934e-3]	1.858e-3 [1.575e-3..2.192e-3]
