	A->C	A->G	A->T	C->A	C->G	C->T	G->A	G->C	G->T	T->A	T->C	T->G
17	2.669e-3 [2.489e-3..2.863e-3]	5.096e-3 [4.845e-3..5.361e-3]	3.157e-3 [2.961e-3..3.367e-3]	4.527e-3 [4.235e-3..4.839e-3]	3.160e-3 [2.918e-3..3.423e-3]	9.081e-3 [8.664e-3..9.517e-3]	8.679e-3 [8.272e-3..9.106e-3]	3.458e-3 [3.204e-3..3.732e-3]	5.068e-3 [4.759e-3..5.398e-3]	2.593e-3 [2.422e-3..2.775e-3]	6.377e-3 [6.107e-3..6.658e-3]	2.296e-3 [2.136e-3..2.468e-3]
18	2.552e-3 [2.378e-3..2.740e-3]	5.188e-3 [4.937e-3..5.452e-3]	3.104e-3 [2.911e-3..3.309e-3]	4.174e-3 [3.898e-3..4.470e-3]	3.248e-3 [3.005e-3..3.510e-3]	8.911e-3 [8.504e-3..9.337e-3]	7.822e-3 [7.438e-3..8.225e-3]	3.283e-3 [3.037e-3..3.548e-3]	5.230e-3 [4.918e-3..5.562e-3]	2.426e-3 [2.258e-3..2.606e-3]	6.307e-3 [6.033e-3..6.594e-3]	2.292e-3 [2.129e-3..2.467e-3]
19	2.638e-3 [2.461e-3..2.828e-3]	4.996e-3 [4.751e-3..5.255e-3]	3.164e-3 [2.969e-3..3.371e-3]	4.220e-3 [3.944e-3..4.516e-3]	3.259e-3 [3.017e-3..3.520e-3]	9.078e-3 [8.669e-3..9.506e-3]	8.145e-3 [7.756e-3..8.552e-3]	3.252e-3 [3.009e-3..3.514e-3]	5.046e-3 [4.742e-3..5.369e-3]	2.577e-3 [2.401e-3..2.765e-3]	6.092e-3 [5.820e-3..6.378e-3]	2.573e-3 [2.398e-3..2.761e-3]
20	2.623e-3 [2.449e-3..2.808e-3]	4.740e-3 [4.505e-3..4.988e-3]	3.027e-3 [2.840e-3..3.227e-3]	4.109e-3 [3.831e-3..4.407e-3]	3.156e-3 [2.913e-3..3.418e-3]	9.330e-3 [8.908e-3..9.773e-3]	8.827e-3 [8.416e-3..9.258e-3]	3.090e-3 [2.850e-3..3.350e-3]	4.857e-3 [4.554e-3..5.180e-3]	2.633e-3 [2.457e-3..2.822e-3]	6.009e-3 [5.740e-3..6.290e-3]	2.052e-3 [1.897e-3..2.220e-3]
21	2.691e-3 [2.515e-3..2.880e-3]	4.974e-3 [4.732e-3..5.227e-3]	2.953e-3 [2.768e-3..3.150e-3]	4.085e-3 [3.806e-3..4.386e-3]	3.043e-3 [2.802e-3..3.303e-3]	8.977e-3 [8.558e-3..9.416e-3]	8.209e-3 [7.811e-3..8.628e-3]	3.173e-3 [2.929e-3..3.438e-3]	4.823e-3 [4.520e-3..5.147e-3]	2.740e-3 [2.562e-3..2.930e-3]	5.841e-3 [5.579e-3..6.116e-3]	2.659e-3 [2.484e-3..2.847e-3]
22	2.809e-3 [2.624e-3..3.007e-3]	4.880e-3 [4.634e-3..5.139e-3]	2.939e-3 [2.749e-3..3.141e-3]	4.254e-3 [3.972e-3..4.556e-3]	3.268e-3 [3.022e-3..3.533e-3]	8.941e-3 [8.530e-3..9.373e-3]	8.369e-3 [7.973e-3..8.784e-3]	2.949e-3 [2.718e-3..3.201e-3]	5.445e-3 [5.127e-3..5.782e-3]	2.618e-3 [2.446e-3..2.803e-3]	6.158e-3 [5.891e-3..6.438e-3]	2.399e-3 [2.235e-3..2.576e-3]
23	2.363e-3 [2.195e-3..2.543e-3]	4.575e-3 [4.339e-3..4.823e-3]	3.109e-3 [2.916e-3..3.315e-3]	4.766e-3 [4.470e-3..5.082e-3]	3.082e-3 [2.845e-3..3.338e-3]	9.317e-3 [8.900e-3..9.753e-3]	7.863e-3 [7.481e-3..8.265e-3]	3.222e-3 [2.980e-3..3.483e-3]	5.194e-3 [4.885e-3..5.523e-3]	2.568e-3 [2.395e-3..2.754e-3]	6.241e-3 [5.968e-3..6.527e-3]	2.273e-3 [2.110e-3..2.448e-3]
24	2.384e-3 [2.217e-3..2.563e-3]	5.107e-3 [4.860e-3..5.365e-3]	2.844e-3 [2.661e-3..3.039e-3]	4.760e-3 [4.467e-3..5.073e-3]	2.872e-3 [2.646e-3..3.118e-3]	8.980e-3 [8.574e-3..9.406e-3]	8.482e-3 [8.084e-3..8.899e-3]	3.274e-3 [3.030e-3..3.537e-3]	5.259e-3 [4.948e-3..5.590e-3]	2.443e-3 [2.271e-3..2.628e-3]	6.272e-3 [5.993e-3..6.563e-3]	2.317e-3 [2.150e-3..2.497e-3]
25	2.277e-3 [2.115e-3..2.451e-3]	5.071e-3 [4.828e-3..5.327e-3]	3.036e-3 [2.848e-3..3.235e-3]	4.369e-3 [4.081e-3..4.676e-3]	2.978e-3 [2.742e-3..3.234e-3]	9.964e-3 [9.526e-3..1.042e-2]	8.486e-3 [8.080e-3..8.912e-3]	3.369e-3 [3.116e-3..3.642e-3]	5.176e-3 [4.861e-3..5.512e-3]	2.604e-3 [2.430e-3..2.791e-3]	5.953e-3 [5.687e-3..6.232e-3]	2.343e-3 [2.178e-3..2.520e-3]
26	2.412e-3 [2.245e-3..2.592e-3]	4.756e-3 [4.519e-3..5.006e-3]	2.784e-3 [2.604e-3..2.977e-3]	4.130e-3 [3.849e-3..4.431e-3]	2.921e-3 [2.686e-3..3.176e-3]	9.131e-3 [8.710e-3..9.573e-3]	8.356e-3 [7.956e-3..8.776e-3]	3.023e-3 [2.785e-3..3.280e-3]	4.948e-3 [4.642e-3..5.274e-3]	2.758e-3 [2.579e-3..2.949e-3]	6.250e-3 [5.978e-3..6.534e-3]	2.409e-3 [2.242e-3..2.588e-3]
27	2.387e-3 [2.218e-3..2.570e-3]	4.644e-3 [4.405e-3..4.895e-3]	2.872e-3 [2.686e-3..3.071e-3]	4.424e-3 [4.135e-3..4.734e-3]	3.297e-3 [3.048e-3..3.566e-3]	8.801e-3 [8.389e-3..9.232e-3]	8.043e-3 [7.650e-3..8.457e-3]	2.929e-3 [2.695e-3..3.183e-3]	4.945e-3 [4.638e-3..5.272e-3]	2.469e-3 [2.302e-3..2.648e-3]	5.754e-3 [5.496e-3..6.023e-3]	2.289e-3 [2.129e-3..2.462e-3]
28	2.701e-3 [2.521e-3..2.895e-3]	4.968e-3 [4.722e-3..5.228e-3]	2.988e-3 [2.798e-3..3.190e-3]	4.540e-3 [4.253e-3..4.847e-3]	3.482e-3 [3.232e-3..3.752e-3]	9.025e-3 [8.617e-3..9.452e-3]	8.292e-3 [7.897e-3..8.706e-3]	3.355e-3 [3.107e-3..3.623e-3]	4.921e-3 [4.619e-3..5.243e-3]	2.507e-3 [2.335e-3..2.691e-3]	5.669e-3 [5.408e-3..5.942e-3]	2.510e-3 [2.339e-3..2.695e-3]
29	2.244e-3 [2.081e-3..2.420e-3]	4.934e-3 [4.689e-3..5.191e-3]	2.813e-3 [2.630e-3..3.009e-3]	4.075e-3 [3.803e-3..4.367e-3]	3.414e-3 [3.165e-3..3.682e-3]	8.476e-3 [8.080e-3..8.891e-3]	8.053e-3 [7.668e-3..8.458e-3]	3.217e-3 [2.977e-3..3.477e-3]	5.075e-3 [4.770e-3..5.398e-3]	2.536e-3 [2.362e-3..2.724e-3]	6.142e-3 [5.867e-3..6.430e-3]	2.283e-3 [2.118e-3..2.462e-3]
30	2.209e-3 [2.051e-3..2.380e-3]	5.065e-3 [4.822e-3..5.321e-3]	2.709e-3 [2.533e-3..2.897e-3]	4.456e-3 [4.165e-3..4.767e-3]	3.008e-3 [2.770e-3..3.265e-3]	8.190e-3 [7.793e-3..8.607e-3]	7.902e-3 [7.511e-3..8.314e-3]	3.034e-3 [2.794e-3..3.293e-3]	4.944e-3 [4.636e-3..5.272e-3]	2.765e-3 [2.584e-3..2.959e-3]	6.051e-3 [5.780e-3..6.334e-3]	2.206e-3 [2.045e-3..2.379e-3]
31	2.098e-3 [1.942e-3..2.265e-3]	5.200e-3 [4.952e-3..5.460e-3]	2.876e-3 [2.693e-3..3.071e-3]	4.351e-3 [4.061e-3..4.662e-3]	2.881e-3 [2.647e-3..3.136e-3]	8.616e-3 [8.205e-3..9.047e-3]	8.386e-3 [7.984e-3..8.808e-3]	3.218e-3 [2.973e-3..3.485e-3]	4.865e-3 [4.560e-3..5.189e-3]	2.823e-3 [2.641e-3..3.017e-3]	5.626e-3 [5.368e-3..5.897e-3]	2.080e-3 [1.925e-3..2.248e-3]
32	2.020e-3 [1.865e-3..2.189e-3]	5.431e-3 [5.172e-3..5.702e-3]	2.551e-3 [2.376e-3..2.740e-3]	4.256e-3 [3.970e-3..4.563e-3]	2.922e-3 [2.686e-3..3.178e-3]	9.236e-3 [8.810e-3..9.682e-3]	8.054e-3 [7.663e-3..8.465e-3]	3.014e-3 [2.778e-3..3.270e-3]	4.977e-3 [4.671e-3..5.302e-3]	2.859e-3 [2.679e-3..3.052e-3]	5.538e-3 [5.286e-3..5.803e-3]	2.144e-3 [1.989e-3..2.312e-3]
33	2.379e-3 [2.210e-3..2.562e-3]	5.243e-3 [4.989e-3..5.510e-3]	2.620e-3 [2.442e-3..2.811e-3]	4.917e-3 [4.616e-3..5.237e-3]	3.433e-3 [3.183e-3..3.703e-3]	9.007e-3 [8.597e-3..9.436e-3]	8.269e-3 [7.876e-3..8.681e-3]	3.134e-3 [2.895e-3..3.392e-3]	4.755e-3 [4.458e-3..5.070e-3]	2.773e-3 [2.592e-3..2.967e-3]	5.361e-3 [5.107e-3..5.627e-3]	2.148e-3 [1.989e-3..2.319e-3]
34	2.422e-3 [2.254e-3..2.604e-3]	5.306e-3 [5.054e-3..5.571e-3]	2.673e-3 [2.495e-3..2.863e-3]	4.787e-3 [4.489e-3..5.104e-3]	2.967e-3 [2.734e-3..3.220e-3]	8.684e-3 [8.280e-3..9.107e-3]	8.131e-3 [7.744e-3..8.538e-3]	3.007e-3 [2.774e-3..3.258e-3]	4.749e-3 [4.455e-3..5.062e-3]	2.749e-3 [2.565e-3..2.945e-3]	5.692e-3 [5.426e-3..5.972e-3]	2.423e-3 [2.251e-3..2.608e-3]
35	2.182e-3 [2.023e-3..2.354e-3]	5.267e-3 [5.017e-3..5.529e-3]	2.681e-3 [2.504e-3..2.870e-3]	4.616e-3 [4.321e-3..4.932e-3]	3.111e-3 [2.870e-3..3.372e-3]	9.064e-3 [8.647e-3..9.501e-3]	8.137e-3 [7.744e-3..8.550e-3]	3.089e-3 [2.850e-3..3.348e-3]	4.948e-3 [4.643e-3..5.273e-3]	2.726e-3 [2.545e-3..2.920e-3]	5.684e-3 [5.420e-3..5.961e-3]	2.231e-3 [2.067e-3..2.407e-3]
36	2.239e-3 [2.078e-3..2.412e-3]	5.686e-3 [5.427e-3..5.957e-3]	2.890e-3 [2.707e-3..3.086e-3]	4.696e-3 [4.393e-3..5.020e-3]	3.278e-3 [3.026e-3..3.551e-3]	8.094e-3 [7.694e-3..8.516e-3]	8.614e-3 [8.204e-3..9.044e-3]	2.927e-3 [2.691e-3..3.183e-3]	4.681e-3 [4.381e-3..5.002e-3]	2.824e-3 [2.642e-3..3.019e-3]	5.275e-3 [5.024e-3..5.538e-3]	2.182e-3 [2.023e-3..2.354e-3]
37	2.217e-3 [2.053e-3..2.393e-3]	5.484e-3 [5.224e-3..5.756e-3]	2.409e-3 [2.239e-3..2.592e-3]	4.595e-3 [4.298e-3..4.912e-3]	3.049e-3 [2.809e-3..3.309e-3]	9.029e-3 [8.610e-3..9.468e-3]	8.211e-3 [7.812e-3..8.630e-3]	2.797e-3 [2.568e-3..3.047e-3]	4.581e-3 [4.285e-3..4.897e-3]	2.866e-3 [2.684e-3..3.061e-3]	5.165e-3 [4.919e-3..5.423e-3]	2.334e-3 [2.170e-3..2.510e-3]
38	2.362e-3 [2.194e-3..2.543e-3]	5.524e-3 [5.263e-3..5.797e-3]	2.652e-3 [2.473e-3..2.844e-3]	4.701e-3 [4.404e-3..5.017e-3]	3.113e-3 [2.873e-3..3.373e-3]	8.681e-3 [8.275e-3..9.106e-3]	8.342e-3 [7.942e-3..8.762e-3]	3.182e-3 [2.939e-3..3.447e-3]	4.641e-3 [4.345e-3..4.958e-3]	2.884e-3 [2.698e-3..3.082e-3]	5.352e-3 [5.098e-3..5.619e-3]	2.272e-3 [2.109e-3..2.449e-3]
39	2.389e-3 [2.220e-3..2.571e-3]	5.463e-3 [5.205e-3..5.734e-3]	2.819e-3 [2.635e-3..3.016e-3]	4.735e-3 [4.437e-3..5.053e-3]	3.014e-3 [2.778e-3..3.270e-3]	8.958e-3 [8.545e-3..9.390e-3]	8.453e-3 [8.056e-3..8.868e-3]	2.986e-3 [2.754e-3..3.238e-3]	4.469e-3 [4.183e-3..4.775e-3]	2.746e-3 [2.562e-3..2.943e-3]	5.544e-3 [5.281e-3..5.821e-3]	2.450e-3 [2.277e-3..2.637e-3]
40	2.184e-3 [2.025e-3..2.355e-3]	5.372e-3 [5.120e-3..5.636e-3]	2.599e-3 [2.425e-3..2.785e-3]	5.146e-3 [4.828e-3..5.486e-3]	3.282e-3 [3.030e-3..3.556e-3]	9.869e-3 [9.425e-3..1.033e-2]	8.942e-3 [8.520e-3..9.384e-3]	2.794e-3 [2.562e-3..3.047e-3]	4.531e-3 [4.233e-3..4.850e-3]	2.875e-3 [2.689e-3..3.074e-3]	5.499e-3 [5.240e-3..5.771e-3]	2.051e-3 [1.895e-3..2.220e-3]
41	2.203e-3 [2.042e-3..2.377e-3]	5.839e-3 [5.573e-3..6.117e-3]	2.600e-3 [2.425e-3..2.788e-3]	4.838e-3 [4.528e-3..5.170e-3]	2.964e-3 [2.723e-3..3.226e-3]	8.782e-3 [8.361e-3..9.223e-3]	8.641e-3 [8.228e-3..9.073e-3]	2.721e-3 [2.494e-3..2.970e-3]	4.461e-3 [4.167e-3..4.776e-3]	2.810e-3 [2.627e-3..3.006e-3]	5.244e-3 [4.992e-3..5.509e-3]	2.314e-3 [2.148e-3..2.492e-3]
42	2.231e-3 [2.065e-3..2.410e-3]	5.855e-3 [5.583e-3..6.141e-3]	3.006e-3 [2.812e-3..3.213e-3]	4.710e-3 [4.408e-3..5.034e-3]	2.744e-3 [2.515e-3..2.993e-3]	8.742e-3 [8.327e-3..9.177e-3]	8.364e-3 [7.958e-3..8.790e-3]	2.961e-3 [2.724e-3..3.220e-3]	4.258e-3 [3.971e-3..4.566e-3]	2.782e-3 [2.601e-3..2.975e-3]	5.476e-3 [5.220e-3..5.744e-3]	2.333e-3 [2.168e-3..2.511e-3]
43	2.380e-3 [2.209e-3..2.565e-3]	5.672e-3 [5.404e-3..5.953e-3]	2.927e-3 [2.736e-3..3.131e-3]	4.649e-3 [4.353e-3..4.965e-3]	3.115e-3 [2.875e-3..3.376e-3]	8.505e-3 [8.102e-3..8.927e-3]	8.239e-3 [7.840e-3..8.659e-3]	2.809e-3 [2.579e-3..3.059e-3]	4.665e-3 [4.366e-3..4.985e-3]	2.974e-3 [2.782e-3..3.179e-3]	5.426e-3 [5.165e-3..5.700e-3]	2.421e-3 [2.248e-3..2.607e-3]
44	2.157e-3 [1.994e-3..2.333e-3]	6.317e-3 [6.034e-3..6.614e-3]	2.814e-3 [2.627e-3..3.015e-3]	4.593e-3 [4.296e-3..4.911e-3]	2.931e-3 [2.696e-3..3.188e-3]	7.998e-3 [7.603e-3..8.413e-3]	8.769e-3 [8.360e-3..9.198e-3]	2.983e-3 [2.747e-3..3.238e-3]	4.145e-3 [3.866e-3..4.444e-3]	3.117e-3 [2.917e-3..3.329e-3]	5.643e-3 [5.373e-3..5.927e-3]	2.520e-3 [2.341e-3..2.712e-3]
45	2.323e-3 [2.155e-3..2.504e-3]	6.190e-3 [5.913e-3..6.480e-3]	2.973e-3 [2.782e-3..3.176e-3]	4.919e-3 [4.605e-3..5.254e-3]	2.872e-3 [2.634e-3..3.131e-3]	8.525e-3 [8.109e-3..8.963e-3]	8.603e-3 [8.185e-3..9.043e-3]	2.761e-3 [2.528e-3..3.016e-3]	4.159e-3 [3.870e-3..4.468e-3]	2.826e-3 [2.637e-3..3.028e-3]	5.015e-3 [4.761e-3..5.282e-3]	2.271e-3 [2.102e-3..2.453e-3]
46	2.172e-3 [2.007e-3..2.349e-3]	6.073e-3 [5.794e-3..6.365e-3]	2.694e-3 [2.511e-3..2.891e-3]	4.843e-3 [4.526e-3..5.183e-3]	2.768e-3 [2.531e-3..3.028e-3]	8.894e-3 [8.460e-3..9.349e-3]	8.541e-3 [8.120e-3..8.982e-3]	2.881e-3 [2.641e-3..3.143e-3]	4.621e-3 [4.314e-3..4.950e-3]	2.594e-3 [2.414e-3..2.787e-3]	5.610e-3 [5.343e-3..5.890e-3]	2.294e-3 [2.126e-3..2.476e-3]
47	2.110e-3 [1.943e-3..2.291e-3]	5.797e-3 [5.517e-3..6.092e-3]	2.770e-3 [2.578e-3..2.976e-3]	5.145e-3 [4.819e-3..5.494e-3]	2.963e-3 [2.718e-3..3.231e-3]	8.733e-3 [8.305e-3..9.183e-3]	8.425e-3 [8.008e-3..8.863e-3]	3.328e-3 [3.069e-3..3.608e-3]	4.369e-3 [4.071e-3..4.688e-3]	2.752e-3 [2.566e-3..2.951e-3]	5.243e-3 [4.985e-3..5.516e-3]	2.362e-3 [2.190e-3..2.547e-3]
48	2.208e-3 [2.037e-3..2.394e-3]	5.844e-3 [5.561e-3..6.141e-3]	2.856e-3 [2.660e-3..3.066e-3]	4.784e-3 [4.471e-3..5.118e-3]	3.267e-3 [3.010e-3..3.546e-3]	8.360e-3 [7.944e-3..8.798e-3]	9.239e-3 [8.798e-3..9.702e-3]	3.240e-3 [2.983e-3..3.520e-3]	4.576e-3 [4.268e-3..4.906e-3]	2.615e-3 [2.429e-3..2.815e-3]	5.624e-3 [5.348e-3..5.914e-3]	2.540e-3 [2.357e-3..2.738e-3]
49	2.447e-3 [2.266e-3..2.642e-3]	5.940e-3 [5.654e-3..6.240e-3]	2.964e-3 [2.764e-3..3.179e-3]	4.705e-3 [4.389e-3..5.043e-3]	2.961e-3 [2.712e-3..3.231e-3]	8.247e-3 [7.826e-3..8.690e-3]	9.235e-3 [8.792e-3..9.700e-3]	2.828e-3 [2.587e-3..3.092e-3]	4.380e-3 [4.078e-3..4.705e-3]	2.402e-3 [2.220e-3..2.600e-3]	5.267e-3 [4.994e-3..5.556e-3]	2.489e-3 [2.303e-3..2.690e-3]
50	2.405e-3 [2.225e-3..2.600e-3]	5.684e-3 [5.404e-3..5.979e-3]	2.971e-3 [2.770e-3..3.187e-3]	4.786e-3 [4.459e-3..5.138e-3]	3.054e-3 [2.795e-3..3.338e-3]	7.923e-3 [7.498e-3..8.371e-3]	9.297e-3 [8.839e-3..9.778e-3]	2.915e-3 [2.663e-3..3.190e-3]	4.338e-3 [4.028e-3..4.671e-3]	2.639e-3 [2.446e-3..2.846e-3]	4.831e-3 [4.569e-3..5.109e-3]	2.437e-3 [2.253e-3..2.637e-3]
