	A->C	A->G	A->T	C->A	C->G	C->T	G->A	G->C	G->T	T->A	T->C	T->G
-33	1.670e-3 [1.533e-3..1.820e-3]	3.386e-3 [3.187e-3..3.596e-3]	1.751e-3 [1.610e-3..1.904e-3]	4.428e-3 [4.095e-3..4.788e-3]	2.834e-3 [2.570e-3..3.125e-3]	8.382e-3 [7.919e-3..8.871e-3]	8.484e-3 [8.049e-3..8.944e-3]	3.889e-3 [3.597e-3..4.205e-3]	6.199e-3 [5.828e-3..6.594e-3]	2.788e-3 [2.584e-3..3.008e-3]	4.378e-3 [4.120e-3..4.651e-3]	1.855e-3 [1.690e-3..2.036e-3]
-32	1.839e-3 [1.700e-3..1.988e-3]	3.320e-3 [3.133e-3..3.519e-3]	1.891e-3 [1.751e-3..2.042e-3]	4.359e-3 [4.024e-3..4.721e-3]	2.390e-3 [2.146e-3..2.662e-3]	8.616e-3 [8.141e-3..9.118e-3]	8.442e-3 [7.993e-3..8.915e-3]	3.243e-3 [2.969e-3..3.543e-3]	5.615e-3 [5.251e-3..6.004e-3]	2.470e-3 [2.279e-3..2.677e-3]	4.038e-3 [3.792e-3..4.301e-3]	1.786e-3 [1.625e-3..1.964e-3]
-31	1.773e-3 [1.636e-3..1.921e-3]	3.524e-3 [3.329e-3..3.731e-3]	2.059e-3 [1.911e-3..2.218e-3]	4.599e-3 [4.268e-3..4.957e-3]	2.536e-3 [2.292e-3..2.805e-3]	8.794e-3 [8.332e-3..9.282e-3]	8.466e-3 [8.027e-3..8.930e-3]	3.892e-3 [3.597e-3..4.211e-3]	6.046e-3 [5.676e-3..6.441e-3]	2.498e-3 [2.308e-3..2.703e-3]	4.247e-3 [3.997e-3..4.512e-3]	1.717e-3 [1.561e-3..1.888e-3]
-30	1.752e-3 [1.617e-3..1.899e-3]	3.374e-3 [3.185e-3..3.575e-3]	1.850e-3 [1.710e-3..2.000e-3]	4.061e-3 [3.745e-3..4.405e-3]	2.363e-3 [2.124e-3..2.628e-3]	8.703e-3 [8.235e-3..9.198e-3]	7.790e-3 [7.363e-3..8.242e-3]	3.443e-3 [3.162e-3..3.748e-3]	6.027e-3 [5.652e-3..6.426e-3]	3.052e-3 [2.851e-3..3.268e-3]	4.414e-3 [4.171e-3..4.672e-3]	1.913e-3 [1.755e-3..2.086e-3]
-29	1.627e-3 [1.497e-3..1.769e-3]	3.768e-3 [3.567e-3..3.980e-3]	1.893e-3 [1.752e-3..2.045e-3]	4.579e-3 [4.252e-3..4.931e-3]	3.114e-3 [2.846e-3..3.406e-3]	8.395e-3 [7.949e-3..8.866e-3]	8.290e-3 [7.876e-3..8.726e-3]	3.747e-3 [3.472e-3..4.045e-3]	6.230e-3 [5.872e-3..6.610e-3]	2.641e-3 [2.449e-3..2.848e-3]	4.320e-3 [4.072e-3..4.583e-3]	1.876e-3 [1.715e-3..2.052e-3]
-28	1.819e-3 [1.682e-3..1.967e-3]	3.484e-3 [3.293e-3..3.687e-3]	1.807e-3 [1.671e-3..1.955e-3]	4.449e-3 [4.127e-3..4.797e-3]	3.170e-3 [2.900e-3..3.466e-3]	8.780e-3 [8.322e-3..9.262e-3]	8.482e-3 [8.068e-3..8.918e-3]	3.856e-3 [3.579e-3..4.154e-3]	5.795e-3 [5.453e-3..6.157e-3]	3.066e-3 [2.861e-3..3.286e-3]	4.162e-3 [3.922e-3..4.417e-3]	2.112e-3 [1.943e-3..2.296e-3]
-27	1.687e-3 [1.560e-3..1.824e-3]	3.585e-3 [3.399e-3..3.782e-3]	2.040e-3 [1.901e-3..2.190e-3]	4.402e-3 [4.080e-3..4.749e-3]	2.583e-3 [2.339e-3..2.852e-3]	7.941e-3 [7.505e-3..8.402e-3]	7.632e-3 [7.227e-3..8.059e-3]	3.486e-3 [3.215e-3..3.779e-3]	5.568e-3 [5.223e-3..5.935e-3]	2.731e-3 [2.537e-3..2.939e-3]	4.121e-3 [3.882e-3..4.375e-3]	1.881e-3 [1.721e-3..2.055e-3]
-26	1.666e-3 [1.540e-3..1.802e-3]	3.927e-3 [3.731e-3..4.133e-3]	1.915e-3 [1.780e-3..2.061e-3]	5.164e-3 [4.821e-3..5.532e-3]	2.838e-3 [2.586e-3..3.114e-3]	8.641e-3 [8.194e-3..9.112e-3]	8.780e-3 [8.353e-3..9.228e-3]	3.625e-3 [3.354e-3..3.918e-3]	6.191e-3 [5.834e-3..6.570e-3]	2.841e-3 [2.645e-3..3.052e-3]	4.213e-3 [3.972e-3..4.468e-3]	2.095e-3 [1.927e-3..2.277e-3]
-25	1.755e-3 [1.626e-3..1.894e-3]	3.307e-3 [3.128e-3..3.496e-3]	1.907e-3 [1.773e-3..2.052e-3]	4.132e-3 [3.823e-3..4.466e-3]	3.076e-3 [2.811e-3..3.366e-3]	8.636e-3 [8.185e-3..9.111e-3]	8.331e-3 [7.910e-3..8.775e-3]	3.618e-3 [3.344e-3..3.915e-3]	5.895e-3 [5.542e-3..6.271e-3]	3.175e-3 [2.975e-3..3.388e-3]	4.599e-3 [4.357e-3..4.854e-3]	1.793e-3 [1.644e-3..1.955e-3]
-24	1.775e-3 [1.645e-3..1.915e-3]	3.699e-3 [3.509e-3..3.898e-3]	1.911e-3 [1.776e-3..2.056e-3]	4.583e-3 [4.262e-3..4.928e-3]	3.078e-3 [2.817e-3..3.364e-3]	8.622e-3 [8.178e-3..9.090e-3]	9.065e-3 [8.653e-3..9.497e-3]	3.518e-3 [3.264e-3..3.791e-3]	6.547e-3 [6.197e-3..6.915e-3]	2.817e-3 [2.624e-3..3.023e-3]	3.962e-3 [3.732e-3..4.205e-3]	2.095e-3 [1.930e-3..2.274e-3]
